,image_path,label
45,E:\satellite image classification\data\cloudy\train_10788.jpg,Cloudy
46,E:\satellite image classification\data\cloudy\train_10793.jpg,Cloudy
47,E:\satellite image classification\data\cloudy\train_108.jpg,Cloudy
48,E:\satellite image classification\data\cloudy\train_10816.jpg,Cloudy
49,E:\satellite image classification\data\cloudy\train_10856.jpg,Cloudy
50,E:\satellite image classification\data\cloudy\train_1086.jpg,Cloudy
51,E:\satellite image classification\data\cloudy\train_10889.jpg,Cloudy
52,E:\satellite image classification\data\cloudy\train_10891.jpg,Cloudy
53,E:\satellite image classification\data\cloudy\train_10908.jpg,Cloudy
54,E:\satellite image classification\data\cloudy\train_1092.jpg,Cloudy
55,E:\satellite image classification\data\cloudy\train_10952.jpg,Cloudy
56,E:\satellite image classification\data\cloudy\train_11008.jpg,Cloudy
57,E:\satellite image classification\data\cloudy\train_11047.jpg,Cloudy
58,E:\satellite image classification\data\cloudy\train_11050.jpg,Cloudy
59,E:\satellite image classification\data\cloudy\train_11118.jpg,Cloudy
60,E:\satellite image classification\data\cloudy\train_11132.jpg,Cloudy
61,E:\satellite image classification\data\cloudy\train_11150.jpg,Cloudy
62,E:\satellite image classification\data\cloudy\train_11161.jpg,Cloudy
63,E:\satellite image classification\data\cloudy\train_11191.jpg,Cloudy
64,E:\satellite image classification\data\cloudy\train_11211.jpg,Cloudy
65,E:\satellite image classification\data\cloudy\train_11218.jpg,Cloudy
66,E:\satellite image classification\data\cloudy\train_11240.jpg,Cloudy
67,E:\satellite image classification\data\cloudy\train_11259.jpg,Cloudy
68,E:\satellite image classification\data\cloudy\train_1126.jpg,Cloudy
69,E:\satellite image classification\data\cloudy\train_11260.jpg,Cloudy
70,E:\satellite image classification\data\cloudy\train_11283.jpg,Cloudy
71,E:\satellite image classification\data\cloudy\train_11294.jpg,Cloudy
72,E:\satellite image classification\data\cloudy\train_11301.jpg,Cloudy
73,E:\satellite image classification\data\cloudy\train_11305.jpg,Cloudy
74,E:\satellite image classification\data\cloudy\train_11307.jpg,Cloudy
75,E:\satellite image classification\data\cloudy\train_11312.jpg,Cloudy
76,E:\satellite image classification\data\cloudy\train_11317.jpg,Cloudy
77,E:\satellite image classification\data\cloudy\train_11325.jpg,Cloudy
78,E:\satellite image classification\data\cloudy\train_11326.jpg,Cloudy
79,E:\satellite image classification\data\cloudy\train_11352.jpg,Cloudy
80,E:\satellite image classification\data\cloudy\train_11354.jpg,Cloudy
81,E:\satellite image classification\data\cloudy\train_1140.jpg,Cloudy
82,E:\satellite image classification\data\cloudy\train_11415.jpg,Cloudy
83,E:\satellite image classification\data\cloudy\train_11486.jpg,Cloudy
84,E:\satellite image classification\data\cloudy\train_11492.jpg,Cloudy
85,E:\satellite image classification\data\cloudy\train_11512.jpg,Cloudy
86,E:\satellite image classification\data\cloudy\train_11549.jpg,Cloudy
87,E:\satellite image classification\data\cloudy\train_11561.jpg,Cloudy
88,E:\satellite image classification\data\cloudy\train_11569.jpg,Cloudy
89,E:\satellite image classification\data\cloudy\train_11597.jpg,Cloudy
90,E:\satellite image classification\data\cloudy\train_11644.jpg,Cloudy
91,E:\satellite image classification\data\cloudy\train_11663.jpg,Cloudy
92,E:\satellite image classification\data\cloudy\train_11673.jpg,Cloudy
93,E:\satellite image classification\data\cloudy\train_11686.jpg,Cloudy
94,E:\satellite image classification\data\cloudy\train_11706.jpg,Cloudy
95,E:\satellite image classification\data\cloudy\train_11740.jpg,Cloudy
96,E:\satellite image classification\data\cloudy\train_11757.jpg,Cloudy
97,E:\satellite image classification\data\cloudy\train_118.jpg,Cloudy
98,E:\satellite image classification\data\cloudy\train_11805.jpg,Cloudy
99,E:\satellite image classification\data\cloudy\train_11820.jpg,Cloudy
100,E:\satellite image classification\data\cloudy\train_11844.jpg,Cloudy
101,E:\satellite image classification\data\cloudy\train_11871.jpg,Cloudy
102,E:\satellite image classification\data\cloudy\train_11896.jpg,Cloudy
103,E:\satellite image classification\data\cloudy\train_11904.jpg,Cloudy
104,E:\satellite image classification\data\cloudy\train_11937.jpg,Cloudy
105,E:\satellite image classification\data\cloudy\train_1194.jpg,Cloudy
106,E:\satellite image classification\data\cloudy\train_11979.jpg,Cloudy
107,E:\satellite image classification\data\cloudy\train_11981.jpg,Cloudy
108,E:\satellite image classification\data\cloudy\train_12.jpg,Cloudy
109,E:\satellite image classification\data\cloudy\train_12009.jpg,Cloudy
110,E:\satellite image classification\data\cloudy\train_12016.jpg,Cloudy
111,E:\satellite image classification\data\cloudy\train_12038.jpg,Cloudy
112,E:\satellite image classification\data\cloudy\train_12058.jpg,Cloudy
113,E:\satellite image classification\data\cloudy\train_12068.jpg,Cloudy
114,E:\satellite image classification\data\cloudy\train_12072.jpg,Cloudy
115,E:\satellite image classification\data\cloudy\train_12089.jpg,Cloudy
116,E:\satellite image classification\data\cloudy\train_12097.jpg,Cloudy
117,E:\satellite image classification\data\cloudy\train_12112.jpg,Cloudy
118,E:\satellite image classification\data\cloudy\train_12119.jpg,Cloudy
119,E:\satellite image classification\data\cloudy\train_12191.jpg,Cloudy
120,E:\satellite image classification\data\cloudy\train_12204.jpg,Cloudy
121,E:\satellite image classification\data\cloudy\train_12211.jpg,Cloudy
122,E:\satellite image classification\data\cloudy\train_12235.jpg,Cloudy
123,E:\satellite image classification\data\cloudy\train_12239.jpg,Cloudy
124,E:\satellite image classification\data\cloudy\train_12313.jpg,Cloudy
125,E:\satellite image classification\data\cloudy\train_12316.jpg,Cloudy
126,E:\satellite image classification\data\cloudy\train_12343.jpg,Cloudy
127,E:\satellite image classification\data\cloudy\train_12353.jpg,Cloudy
128,E:\satellite image classification\data\cloudy\train_12360.jpg,Cloudy
129,E:\satellite image classification\data\cloudy\train_12365.jpg,Cloudy
130,E:\satellite image classification\data\cloudy\train_12421.jpg,Cloudy
131,E:\satellite image classification\data\cloudy\train_12500.jpg,Cloudy
132,E:\satellite image classification\data\cloudy\train_12502.jpg,Cloudy
133,E:\satellite image classification\data\cloudy\train_12517.jpg,Cloudy
134,E:\satellite image classification\data\cloudy\train_12525.jpg,Cloudy
135,E:\satellite image classification\data\cloudy\train_12536.jpg,Cloudy
136,E:\satellite image classification\data\cloudy\train_1256.jpg,Cloudy
137,E:\satellite image classification\data\cloudy\train_12611.jpg,Cloudy
138,E:\satellite image classification\data\cloudy\train_12682.jpg,Cloudy
139,E:\satellite image classification\data\cloudy\train_12701.jpg,Cloudy
140,E:\satellite image classification\data\cloudy\train_12713.jpg,Cloudy
141,E:\satellite image classification\data\cloudy\train_12724.jpg,Cloudy
142,E:\satellite image classification\data\cloudy\train_12737.jpg,Cloudy
143,E:\satellite image classification\data\cloudy\train_12770.jpg,Cloudy
144,E:\satellite image classification\data\cloudy\train_1283.jpg,Cloudy
145,E:\satellite image classification\data\cloudy\train_12924.jpg,Cloudy
146,E:\satellite image classification\data\cloudy\train_12928.jpg,Cloudy
147,E:\satellite image classification\data\cloudy\train_1297.jpg,Cloudy
148,E:\satellite image classification\data\cloudy\train_12975.jpg,Cloudy
149,E:\satellite image classification\data\cloudy\train_13006.jpg,Cloudy
150,E:\satellite image classification\data\cloudy\train_13011.jpg,Cloudy
151,E:\satellite image classification\data\cloudy\train_13016.jpg,Cloudy
152,E:\satellite image classification\data\cloudy\train_13047.jpg,Cloudy
153,E:\satellite image classification\data\cloudy\train_13069.jpg,Cloudy
154,E:\satellite image classification\data\cloudy\train_13078.jpg,Cloudy
155,E:\satellite image classification\data\cloudy\train_13110.jpg,Cloudy
156,E:\satellite image classification\data\cloudy\train_13114.jpg,Cloudy
157,E:\satellite image classification\data\cloudy\train_13124.jpg,Cloudy
158,E:\satellite image classification\data\cloudy\train_13129.jpg,Cloudy
159,E:\satellite image classification\data\cloudy\train_13130.jpg,Cloudy
160,E:\satellite image classification\data\cloudy\train_13167.jpg,Cloudy
161,E:\satellite image classification\data\cloudy\train_13219.jpg,Cloudy
162,E:\satellite image classification\data\cloudy\train_13248.jpg,Cloudy
163,E:\satellite image classification\data\cloudy\train_13262.jpg,Cloudy
164,E:\satellite image classification\data\cloudy\train_13282.jpg,Cloudy
165,E:\satellite image classification\data\cloudy\train_13292.jpg,Cloudy
166,E:\satellite image classification\data\cloudy\train_13300.jpg,Cloudy
167,E:\satellite image classification\data\cloudy\train_13312.jpg,Cloudy
168,E:\satellite image classification\data\cloudy\train_1336.jpg,Cloudy
169,E:\satellite image classification\data\cloudy\train_13370.jpg,Cloudy
170,E:\satellite image classification\data\cloudy\train_1339.jpg,Cloudy
171,E:\satellite image classification\data\cloudy\train_13404.jpg,Cloudy
172,E:\satellite image classification\data\cloudy\train_13407.jpg,Cloudy
173,E:\satellite image classification\data\cloudy\train_13413.jpg,Cloudy
174,E:\satellite image classification\data\cloudy\train_13442.jpg,Cloudy
175,E:\satellite image classification\data\cloudy\train_13464.jpg,Cloudy
176,E:\satellite image classification\data\cloudy\train_13475.jpg,Cloudy
177,E:\satellite image classification\data\cloudy\train_13497.jpg,Cloudy
178,E:\satellite image classification\data\cloudy\train_13502.jpg,Cloudy
179,E:\satellite image classification\data\cloudy\train_13560.jpg,Cloudy
180,E:\satellite image classification\data\cloudy\train_1360.jpg,Cloudy
181,E:\satellite image classification\data\cloudy\train_13602.jpg,Cloudy
182,E:\satellite image classification\data\cloudy\train_13613.jpg,Cloudy
183,E:\satellite image classification\data\cloudy\train_13628.jpg,Cloudy
184,E:\satellite image classification\data\cloudy\train_13647.jpg,Cloudy
185,E:\satellite image classification\data\cloudy\train_1374.jpg,Cloudy
186,E:\satellite image classification\data\cloudy\train_13749.jpg,Cloudy
187,E:\satellite image classification\data\cloudy\train_1378.jpg,Cloudy
188,E:\satellite image classification\data\cloudy\train_13785.jpg,Cloudy
189,E:\satellite image classification\data\cloudy\train_13792.jpg,Cloudy
190,E:\satellite image classification\data\cloudy\train_138.jpg,Cloudy
191,E:\satellite image classification\data\cloudy\train_13830.jpg,Cloudy
192,E:\satellite image classification\data\cloudy\train_13887.jpg,Cloudy
193,E:\satellite image classification\data\cloudy\train_1391.jpg,Cloudy
194,E:\satellite image classification\data\cloudy\train_14.jpg,Cloudy
195,E:\satellite image classification\data\cloudy\train_14009.jpg,Cloudy
196,E:\satellite image classification\data\cloudy\train_14024.jpg,Cloudy
197,E:\satellite image classification\data\cloudy\train_14034.jpg,Cloudy
198,E:\satellite image classification\data\cloudy\train_14060.jpg,Cloudy
199,E:\satellite image classification\data\cloudy\train_14090.jpg,Cloudy
200,E:\satellite image classification\data\cloudy\train_14091.jpg,Cloudy
201,E:\satellite image classification\data\cloudy\train_14100.jpg,Cloudy
202,E:\satellite image classification\data\cloudy\train_14107.jpg,Cloudy
203,E:\satellite image classification\data\cloudy\train_14175.jpg,Cloudy
204,E:\satellite image classification\data\cloudy\train_14179.jpg,Cloudy
205,E:\satellite image classification\data\cloudy\train_14180.jpg,Cloudy
206,E:\satellite image classification\data\cloudy\train_14181.jpg,Cloudy
207,E:\satellite image classification\data\cloudy\train_14198.jpg,Cloudy
208,E:\satellite image classification\data\cloudy\train_14210.jpg,Cloudy
209,E:\satellite image classification\data\cloudy\train_14238.jpg,Cloudy
210,E:\satellite image classification\data\cloudy\train_14240.jpg,Cloudy
211,E:\satellite image classification\data\cloudy\train_14265.jpg,Cloudy
212,E:\satellite image classification\data\cloudy\train_14320.jpg,Cloudy
213,E:\satellite image classification\data\cloudy\train_14352.jpg,Cloudy
214,E:\satellite image classification\data\cloudy\train_14381.jpg,Cloudy
215,E:\satellite image classification\data\cloudy\train_14394.jpg,Cloudy
216,E:\satellite image classification\data\cloudy\train_14403.jpg,Cloudy
217,E:\satellite image classification\data\cloudy\train_14404.jpg,Cloudy
218,E:\satellite image classification\data\cloudy\train_14462.jpg,Cloudy
219,E:\satellite image classification\data\cloudy\train_1450.jpg,Cloudy
220,E:\satellite image classification\data\cloudy\train_14509.jpg,Cloudy
221,E:\satellite image classification\data\cloudy\train_14542.jpg,Cloudy
222,E:\satellite image classification\data\cloudy\train_14558.jpg,Cloudy
223,E:\satellite image classification\data\cloudy\train_14591.jpg,Cloudy
224,E:\satellite image classification\data\cloudy\train_14592.jpg,Cloudy
225,E:\satellite image classification\data\cloudy\train_14634.jpg,Cloudy
226,E:\satellite image classification\data\cloudy\train_14654.jpg,Cloudy
227,E:\satellite image classification\data\cloudy\train_14659.jpg,Cloudy
228,E:\satellite image classification\data\cloudy\train_14667.jpg,Cloudy
229,E:\satellite image classification\data\cloudy\train_14773.jpg,Cloudy
230,E:\satellite image classification\data\cloudy\train_14787.jpg,Cloudy
231,E:\satellite image classification\data\cloudy\train_1479.jpg,Cloudy
232,E:\satellite image classification\data\cloudy\train_1483.jpg,Cloudy
233,E:\satellite image classification\data\cloudy\train_14835.jpg,Cloudy
234,E:\satellite image classification\data\cloudy\train_1486.jpg,Cloudy
235,E:\satellite image classification\data\cloudy\train_14862.jpg,Cloudy
236,E:\satellite image classification\data\cloudy\train_14869.jpg,Cloudy
237,E:\satellite image classification\data\cloudy\train_14895.jpg,Cloudy
238,E:\satellite image classification\data\cloudy\train_1490.jpg,Cloudy
239,E:\satellite image classification\data\cloudy\train_1492.jpg,Cloudy
240,E:\satellite image classification\data\cloudy\train_14932.jpg,Cloudy
241,E:\satellite image classification\data\cloudy\train_14942.jpg,Cloudy
242,E:\satellite image classification\data\cloudy\train_14947.jpg,Cloudy
243,E:\satellite image classification\data\cloudy\train_14975.jpg,Cloudy
244,E:\satellite image classification\data\cloudy\train_14977.jpg,Cloudy
245,E:\satellite image classification\data\cloudy\train_14978.jpg,Cloudy
246,E:\satellite image classification\data\cloudy\train_14991.jpg,Cloudy
247,E:\satellite image classification\data\cloudy\train_1500.jpg,Cloudy
248,E:\satellite image classification\data\cloudy\train_15012.jpg,Cloudy
249,E:\satellite image classification\data\cloudy\train_15052.jpg,Cloudy
250,E:\satellite image classification\data\cloudy\train_15077.jpg,Cloudy
251,E:\satellite image classification\data\cloudy\train_15137.jpg,Cloudy
252,E:\satellite image classification\data\cloudy\train_15165.jpg,Cloudy
253,E:\satellite image classification\data\cloudy\train_15171.jpg,Cloudy
254,E:\satellite image classification\data\cloudy\train_1520.jpg,Cloudy
255,E:\satellite image classification\data\cloudy\train_15201.jpg,Cloudy
256,E:\satellite image classification\data\cloudy\train_15233.jpg,Cloudy
257,E:\satellite image classification\data\cloudy\train_15247.jpg,Cloudy
258,E:\satellite image classification\data\cloudy\train_15254.jpg,Cloudy
259,E:\satellite image classification\data\cloudy\train_15268.jpg,Cloudy
260,E:\satellite image classification\data\cloudy\train_15278.jpg,Cloudy
261,E:\satellite image classification\data\cloudy\train_15350.jpg,Cloudy
262,E:\satellite image classification\data\cloudy\train_15351.jpg,Cloudy
263,E:\satellite image classification\data\cloudy\train_15364.jpg,Cloudy
264,E:\satellite image classification\data\cloudy\train_1538.jpg,Cloudy
265,E:\satellite image classification\data\cloudy\train_15393.jpg,Cloudy
266,E:\satellite image classification\data\cloudy\train_15396.jpg,Cloudy
267,E:\satellite image classification\data\cloudy\train_15408.jpg,Cloudy
268,E:\satellite image classification\data\cloudy\train_15469.jpg,Cloudy
269,E:\satellite image classification\data\cloudy\train_15477.jpg,Cloudy
270,E:\satellite image classification\data\cloudy\train_15489.jpg,Cloudy
271,E:\satellite image classification\data\cloudy\train_1550.jpg,Cloudy
272,E:\satellite image classification\data\cloudy\train_1551.jpg,Cloudy
273,E:\satellite image classification\data\cloudy\train_15562.jpg,Cloudy
274,E:\satellite image classification\data\cloudy\train_15590.jpg,Cloudy
275,E:\satellite image classification\data\cloudy\train_15622.jpg,Cloudy
276,E:\satellite image classification\data\cloudy\train_15677.jpg,Cloudy
277,E:\satellite image classification\data\cloudy\train_15709.jpg,Cloudy
278,E:\satellite image classification\data\cloudy\train_15742.jpg,Cloudy
279,E:\satellite image classification\data\cloudy\train_15747.jpg,Cloudy
280,E:\satellite image classification\data\cloudy\train_15751.jpg,Cloudy
281,E:\satellite image classification\data\cloudy\train_15770.jpg,Cloudy
282,E:\satellite image classification\data\cloudy\train_15773.jpg,Cloudy
283,E:\satellite image classification\data\cloudy\train_15781.jpg,Cloudy
284,E:\satellite image classification\data\cloudy\train_1580.jpg,Cloudy
285,E:\satellite image classification\data\cloudy\train_15823.jpg,Cloudy
286,E:\satellite image classification\data\cloudy\train_15830.jpg,Cloudy
287,E:\satellite image classification\data\cloudy\train_15862.jpg,Cloudy
288,E:\satellite image classification\data\cloudy\train_15868.jpg,Cloudy
289,E:\satellite image classification\data\cloudy\train_15885.jpg,Cloudy
290,E:\satellite image classification\data\cloudy\train_15911.jpg,Cloudy
291,E:\satellite image classification\data\cloudy\train_15951.jpg,Cloudy
292,E:\satellite image classification\data\cloudy\train_15974.jpg,Cloudy
293,E:\satellite image classification\data\cloudy\train_1598.jpg,Cloudy
294,E:\satellite image classification\data\cloudy\train_15993.jpg,Cloudy
295,E:\satellite image classification\data\cloudy\train_15994.jpg,Cloudy
296,E:\satellite image classification\data\cloudy\train_15999.jpg,Cloudy
297,E:\satellite image classification\data\cloudy\train_16023.jpg,Cloudy
298,E:\satellite image classification\data\cloudy\train_16031.jpg,Cloudy
299,E:\satellite image classification\data\cloudy\train_16042.jpg,Cloudy
300,E:\satellite image classification\data\cloudy\train_16043.jpg,Cloudy
301,E:\satellite image classification\data\cloudy\train_16059.jpg,Cloudy
302,E:\satellite image classification\data\cloudy\train_16083.jpg,Cloudy
303,E:\satellite image classification\data\cloudy\train_16112.jpg,Cloudy
304,E:\satellite image classification\data\cloudy\train_16188.jpg,Cloudy
305,E:\satellite image classification\data\cloudy\train_16195.jpg,Cloudy
306,E:\satellite image classification\data\cloudy\train_16199.jpg,Cloudy
307,E:\satellite image classification\data\cloudy\train_16213.jpg,Cloudy
308,E:\satellite image classification\data\cloudy\train_16240.jpg,Cloudy
309,E:\satellite image classification\data\cloudy\train_16251.jpg,Cloudy
310,E:\satellite image classification\data\cloudy\train_16253.jpg,Cloudy
311,E:\satellite image classification\data\cloudy\train_16321.jpg,Cloudy
312,E:\satellite image classification\data\cloudy\train_16325.jpg,Cloudy
313,E:\satellite image classification\data\cloudy\train_16387.jpg,Cloudy
314,E:\satellite image classification\data\cloudy\train_16397.jpg,Cloudy
315,E:\satellite image classification\data\cloudy\train_16418.jpg,Cloudy
316,E:\satellite image classification\data\cloudy\train_16486.jpg,Cloudy
317,E:\satellite image classification\data\cloudy\train_16531.jpg,Cloudy
318,E:\satellite image classification\data\cloudy\train_16551.jpg,Cloudy
319,E:\satellite image classification\data\cloudy\train_16567.jpg,Cloudy
320,E:\satellite image classification\data\cloudy\train_16575.jpg,Cloudy
321,E:\satellite image classification\data\cloudy\train_16604.jpg,Cloudy
322,E:\satellite image classification\data\cloudy\train_16606.jpg,Cloudy
323,E:\satellite image classification\data\cloudy\train_16628.jpg,Cloudy
324,E:\satellite image classification\data\cloudy\train_1663.jpg,Cloudy
325,E:\satellite image classification\data\cloudy\train_16644.jpg,Cloudy
326,E:\satellite image classification\data\cloudy\train_16659.jpg,Cloudy
327,E:\satellite image classification\data\cloudy\train_16693.jpg,Cloudy
328,E:\satellite image classification\data\cloudy\train_1670.jpg,Cloudy
329,E:\satellite image classification\data\cloudy\train_16735.jpg,Cloudy
330,E:\satellite image classification\data\cloudy\train_16766.jpg,Cloudy
331,E:\satellite image classification\data\cloudy\train_16787.jpg,Cloudy
332,E:\satellite image classification\data\cloudy\train_168.jpg,Cloudy
333,E:\satellite image classification\data\cloudy\train_16844.jpg,Cloudy
334,E:\satellite image classification\data\cloudy\train_16865.jpg,Cloudy
335,E:\satellite image classification\data\cloudy\train_16872.jpg,Cloudy
336,E:\satellite image classification\data\cloudy\train_16887.jpg,Cloudy
337,E:\satellite image classification\data\cloudy\train_16890.jpg,Cloudy
338,E:\satellite image classification\data\cloudy\train_16892.jpg,Cloudy
339,E:\satellite image classification\data\cloudy\train_16901.jpg,Cloudy
340,E:\satellite image classification\data\cloudy\train_16915.jpg,Cloudy
341,E:\satellite image classification\data\cloudy\train_16927.jpg,Cloudy
342,E:\satellite image classification\data\cloudy\train_16935.jpg,Cloudy
343,E:\satellite image classification\data\cloudy\train_16947.jpg,Cloudy
344,E:\satellite image classification\data\cloudy\train_16964.jpg,Cloudy
345,E:\satellite image classification\data\cloudy\train_1698.jpg,Cloudy
346,E:\satellite image classification\data\cloudy\train_16989.jpg,Cloudy
347,E:\satellite image classification\data\cloudy\train_16997.jpg,Cloudy
348,E:\satellite image classification\data\cloudy\train_17009.jpg,Cloudy
349,E:\satellite image classification\data\cloudy\train_17016.jpg,Cloudy
350,E:\satellite image classification\data\cloudy\train_17033.jpg,Cloudy
351,E:\satellite image classification\data\cloudy\train_1704.jpg,Cloudy
352,E:\satellite image classification\data\cloudy\train_17067.jpg,Cloudy
353,E:\satellite image classification\data\cloudy\train_1707.jpg,Cloudy
354,E:\satellite image classification\data\cloudy\train_17083.jpg,Cloudy
355,E:\satellite image classification\data\cloudy\train_17086.jpg,Cloudy
356,E:\satellite image classification\data\cloudy\train_17107.jpg,Cloudy
357,E:\satellite image classification\data\cloudy\train_17131.jpg,Cloudy
358,E:\satellite image classification\data\cloudy\train_17141.jpg,Cloudy
359,E:\satellite image classification\data\cloudy\train_1717.jpg,Cloudy
360,E:\satellite image classification\data\cloudy\train_17182.jpg,Cloudy
361,E:\satellite image classification\data\cloudy\train_17200.jpg,Cloudy
362,E:\satellite image classification\data\cloudy\train_1722.jpg,Cloudy
363,E:\satellite image classification\data\cloudy\train_17222.jpg,Cloudy
364,E:\satellite image classification\data\cloudy\train_17237.jpg,Cloudy
365,E:\satellite image classification\data\cloudy\train_17253.jpg,Cloudy
366,E:\satellite image classification\data\cloudy\train_17269.jpg,Cloudy
367,E:\satellite image classification\data\cloudy\train_17279.jpg,Cloudy
368,E:\satellite image classification\data\cloudy\train_17301.jpg,Cloudy
369,E:\satellite image classification\data\cloudy\train_17324.jpg,Cloudy
370,E:\satellite image classification\data\cloudy\train_17357.jpg,Cloudy
371,E:\satellite image classification\data\cloudy\train_1738.jpg,Cloudy
372,E:\satellite image classification\data\cloudy\train_17406.jpg,Cloudy
373,E:\satellite image classification\data\cloudy\train_17504.jpg,Cloudy
374,E:\satellite image classification\data\cloudy\train_17505.jpg,Cloudy
375,E:\satellite image classification\data\cloudy\train_17513.jpg,Cloudy
376,E:\satellite image classification\data\cloudy\train_17549.jpg,Cloudy
377,E:\satellite image classification\data\cloudy\train_17552.jpg,Cloudy
378,E:\satellite image classification\data\cloudy\train_17556.jpg,Cloudy
379,E:\satellite image classification\data\cloudy\train_1756.jpg,Cloudy
380,E:\satellite image classification\data\cloudy\train_17565.jpg,Cloudy
381,E:\satellite image classification\data\cloudy\train_17569.jpg,Cloudy
382,E:\satellite image classification\data\cloudy\train_17584.jpg,Cloudy
383,E:\satellite image classification\data\cloudy\train_17610.jpg,Cloudy
384,E:\satellite image classification\data\cloudy\train_17622.jpg,Cloudy
385,E:\satellite image classification\data\cloudy\train_17643.jpg,Cloudy
386,E:\satellite image classification\data\cloudy\train_17662.jpg,Cloudy
387,E:\satellite image classification\data\cloudy\train_17702.jpg,Cloudy
388,E:\satellite image classification\data\cloudy\train_17722.jpg,Cloudy
389,E:\satellite image classification\data\cloudy\train_1776.jpg,Cloudy
390,E:\satellite image classification\data\cloudy\train_17762.jpg,Cloudy
391,E:\satellite image classification\data\cloudy\train_17769.jpg,Cloudy
392,E:\satellite image classification\data\cloudy\train_1777.jpg,Cloudy
393,E:\satellite image classification\data\cloudy\train_17794.jpg,Cloudy
394,E:\satellite image classification\data\cloudy\train_17797.jpg,Cloudy
395,E:\satellite image classification\data\cloudy\train_1782.jpg,Cloudy
396,E:\satellite image classification\data\cloudy\train_1786.jpg,Cloudy
397,E:\satellite image classification\data\cloudy\train_17897.jpg,Cloudy
398,E:\satellite image classification\data\cloudy\train_179.jpg,Cloudy
399,E:\satellite image classification\data\cloudy\train_17901.jpg,Cloudy
400,E:\satellite image classification\data\cloudy\train_1793.jpg,Cloudy
401,E:\satellite image classification\data\cloudy\train_17935.jpg,Cloudy
402,E:\satellite image classification\data\cloudy\train_18073.jpg,Cloudy
403,E:\satellite image classification\data\cloudy\train_18084.jpg,Cloudy
404,E:\satellite image classification\data\cloudy\train_18102.jpg,Cloudy
405,E:\satellite image classification\data\cloudy\train_18134.jpg,Cloudy
406,E:\satellite image classification\data\cloudy\train_18150.jpg,Cloudy
407,E:\satellite image classification\data\cloudy\train_18154.jpg,Cloudy
408,E:\satellite image classification\data\cloudy\train_18170.jpg,Cloudy
409,E:\satellite image classification\data\cloudy\train_18175.jpg,Cloudy
410,E:\satellite image classification\data\cloudy\train_18183.jpg,Cloudy
